2026-03-16 13:51:53 | INFO     | bank_credit_pipeline.probe |    Relatório 'resumo' (código=1)...
2026-03-16 13:51:53 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='1'&$format=json&$top=10000
2026-03-16 13:52:29 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='1'&$format=json&$top=10000
2026-03-16 13:52:29 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 1, período=202506, tipo=2, página=1, linhas=9618
2026-03-16 13:52:29 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=2, relatório=1, linhas_totais=9618
2026-03-16 13:52:29 | INFO     | bank_credit_pipeline.probe |    9618 linhas, 10 colunas, tipo usado=2
2026-03-16 13:52:31 | INFO     | bank_credit_pipeline.probe |    Relatório 'ativo' (código=2)...
2026-03-16 13:52:31 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000
2026-03-16 13:52:51 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000
2026-03-16 13:52:51 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 2, período=202506, tipo=2, página=1, linhas=10000
2026-03-16 13:52:51 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000&$skip=10000
2026-03-16 13:53:08 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000&$skip=10000
2026-03-16 13:53:08 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 2, período=202506, tipo=2, página=2, linhas=10000
2026-03-16 13:53:08 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000&$skip=20000
2026-03-16 13:53:35 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000&$skip=20000
