CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
00315406,202506,COOPERATIVA DE CRÉDITO RURAL CAZOLA - SICOOB CREDICAZOLA,199501,B3S,I,2,Cooperativa de Crédito,,SP,Lucélia,,,,,I
78717469,202506,COOPERATIVA DE CREDITO RURAL CENTRO NORTE DO PARANA,198401,B3S,I,2,Cooperativa de Crédito,,PR,Apucarana,,,,,I
74040056,202506,COOPERATIVA DE CRÉDITO RURAL CERRADO - SICREDI CERRADO,199402,B3S,I,2,Cooperativa de Crédito,,MT,Campo Verde,,,,,I
60793148,202506,COOPERATIVA DE CRÉDITO RURAL COLABA,199002,B3S,I,2,Cooperativa de Crédito,,SP,Batatais,,,,,I
05138766,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA ALIANÇA - CRESOL ALIANÇA,200208,B3S,I,2,Cooperativa de Crédito,,PR,Pérola d'Oeste,,,,,I
06100881,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA CÂNDIDO DE ABREU - CRESOL CÂNDIDO DE ABREU,200404,B3S,I,2,Cooperativa de Crédito,,PR,Cândido de Abreu,,,,,I
05220232,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA CONEXÕES -CRESOL CONEXÕES,200208,B3S,I,2,Cooperativa de Crédito,,RS,Santa Maria,S5,,,,I
03190530,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DA FRONTEIRA - CRESOL FRONTEIRA,199907,B3S,I,2,Cooperativa de Crédito,,PR,Pranchita,,,,,I
11300087,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DA QUARTA COLONIA - CRESOL QUARTA COLONIA,201003,B3S,I,2,Cooperativa de Crédito,,RS,Faxinal do Soturno,,,,,I
07208637,202506,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDARIA DA ZONA DA MATA - CRESOL ZONA DA MATA,200502,B3S,I,2,Cooperativa de Crédito,,MG,Tombos,S5,,,,I
